algo,dataset,bandwidth,outlier_prop,n_block,kullback_f0_f,kullback_f_f0,jensen,auc_anomaly
kde,banana,0.17146568357355677,0.05,,,,,0.920077441077441
mom-kde,banana,0.17146568357355677,0.05,1,,,,0.920077441077441
mom-kde,banana,0.17146568357355677,0.05,63,,,,0.9167609427609427
mom-kde,banana,0.17146568357355677,0.05,126,,,,0.9012626262626262
mom-kde,banana,0.17146568357355677,0.05,188,,,,0.8673771043771044
mom-kde,banana,0.17146568357355677,0.05,251,,,,0.828952861952862
rkde,banana,0.17146568357355677,0.05,,,,,0.9368922558922559
kde,banana,0.17146568357355677,0.15,,,,,0.8791896691658028
mom-kde,banana,0.17146568357355677,0.15,1,,,,0.8791896691658028
mom-kde,banana,0.17146568357355677,0.15,210,,,,0.8346632594842618
mom-kde,banana,0.17146568357355677,0.15,420,,,,0.7779957490578016
mom-kde,banana,0.17146568357355677,0.15,629,,,,0.7387287754232862
mom-kde,banana,0.17146568357355677,0.15,839,,,,0.7110956421815611
rkde,banana,0.17146568357355677,0.15,,,,,0.942611275845166
kde,banana,0.17146568357355677,0.25,,,,,0.7523015296058226
mom-kde,banana,0.17146568357355677,0.25,1,,,,0.7523015296058226
mom-kde,banana,0.17146568357355677,0.25,396,,,,0.713315818113798
mom-kde,banana,0.17146568357355677,0.25,792,,,,0.6857357242458252
mom-kde,banana,0.17146568357355677,0.25,1188,,,,0.6391529988436553
mom-kde,banana,0.17146568357355677,0.25,1584,,,,0.6336545165459306
rkde,banana,0.17146568357355677,0.25,,,,,0.9407883549297691
kde,banana,0.17146568357355677,0.35,,,,,0.5858118584858225
mom-kde,banana,0.17146568357355677,0.35,1,,,,0.5858118584858225
mom-kde,banana,0.17146568357355677,0.35,457,,,,0.6172912997580706
mom-kde,banana,0.17146568357355677,0.35,914,,,,0.6310212497663632
mom-kde,banana,0.17146568357355677,0.35,1370,,,,0.6271570276652372
mom-kde,banana,0.17146568357355677,0.35,1827,,,,0.616987571835109
rkde,banana,0.17146568357355677,0.35,,,,,0.8616675617262013
kde,banana,0.17146568357355677,0.45,,,,,0.41262730235967504
mom-kde,banana,0.17146568357355677,0.45,1,,,,0.41262730235967504
mom-kde,banana,0.17146568357355677,0.45,540,,,,0.47441281055537354
mom-kde,banana,0.17146568357355677,0.45,1080,,,,0.5535263425124464
mom-kde,banana,0.17146568357355677,0.45,1619,,,,0.5931120260765139
mom-kde,banana,0.17146568357355677,0.45,2159,,,,0.583057695673496
rkde,banana,0.17146568357355677,0.45,,,,,0.6003305919029027
kde,banana,0.17146568357355677,0.5,,,,,0.305697618723713
mom-kde,banana,0.17146568357355677,0.5,1,,,,0.305697618723713
mom-kde,banana,0.17146568357355677,0.5,594,,,,0.36909605312383087
mom-kde,banana,0.17146568357355677,0.5,1188,,,,0.4433676339715902
mom-kde,banana,0.17146568357355677,0.5,1782,,,,0.5533592448049519
mom-kde,banana,0.17146568357355677,0.5,2376,,,,0.544304223491934
rkde,banana,0.17146568357355677,0.5,,,,,0.44643332879864867
